村舍（明·金净）　　五言绝句　押先韵	水乡丰德郡，萧寺远浮烟。地近村灯近，天垂水气连。
旅怀（明·金净）　　七言绝句　押盐韵	江南残梦昼厌厌，愁逐年华日月添。莺燕不来春又去，落花微雨下重帘。
游郑氏池亭（明·金净）　　押阳韵	主人发天秘，篱落成沧浪。孤亭如凫珣，载我浮中央。清飙扇巾帻，山翠滴壶觞。游鱼聚檐影，飞絮骨海棠。聊将倦游客，一笑酬年光。森森万竿竹，飒沓驱商羊。镜面乱浮沫，藻荇相扶将。须臾动涟漪，草木耿斜阳。
祷龙潭（明·金净）　　押遇韵	猿呼乌复噪，四山忽已暮。回汀搴杜若，叶叶沾凉露。聊就菰蒲眠，秋声在高树。
秋闺（明·金净）	木落千山江杳杳，秋空一雁秦云渺。空阶月皎蛩音长，蔓草露滴萤光小。耿耿残灯夜半过，红楼西畔落星河。边衣剪罢寒不寐，飒飒西风鸣败荷。
