春思（明·袁登道）　　五言绝句　押真韵	悲心悬夜月，思泪掩罗巾。惭愧堂前燕，双栖故似人。
题笔底烟霞图（明·袁登道）　　七言绝句　押东韵	苍茫元气自无穷，万叠云山一抹中。欲识烟霞真骨格，好将消息问鸿蒙。
题山水图（明·袁登道）　　七言绝句　押文韵	苍茫元气浩无垠，似雨如烟各未分。却是幽人亲领略，石田笔管自耕耘①。
山光云影图（明·袁登道）　　七言绝句　押东韵	林壑苍茫宿雾浓，冥濛烟雨翠连空。岂知造化难收拾，却入幽人楮素中①。
烟水云林图（明·袁登道）　　七言绝句　押东韵	淡烟和雨大微茫，造化由来点缀工。似与幽人安笔格，好将消息问鸿蒙。
云深飞瀑（明·袁登道）　　七言绝句　押文韵	灵源清寂碧林氛，谁把琼箫弄白云。明月满天风露冷，九霄飞下凤凰群①。
古意（明·袁登道）　　押贿韵	春意照罗帏，林花发明彩。为寄远征人，流光不相待。
幽兴（明·袁登道）　　押遇韵	初日耀阳林，潭景倚春树。时聆众壑声，不知夜来雨。
塞下曲（明·袁登道）　　押屑韵	大风扬尘沙，志士期饮血。晓战渡黄河，前旌卷霜雪。
