续游仙诗六首（明·马洪）　　七言绝句　押先韵	玉版金花阔幅笺，朝来次第散群仙。紫皇敕遣誊《真诰》，第一人书第一篇。
少年游（明·马洪）	弄粉调脂，梳云掠月，次第晓妆成。鹦鹉笼边，秋千墙里，半晌不闻声。原来却在瑶阶下，独自踏花行。笑摘朱樱，微揎翠袖，枝上打流莺。
行香子（明·马洪）	红遍樱桃，绿遍芭蕉，锁窗深、春思无聊。双飞燕懒，百啭莺娇。正漏声迟，帘影静，篆香飘。惜月前宵，病酒今朝，有谁知、臂玉微销。封题锦字，寄与兰翘。恨树重重，云渺渺，水迢迢。
满庭芳 落花（明·马洪）　　押灰韵	春老园林，雨余庭院，偏惹蝶骇莺猜。蔫红皱白，狼藉满苍苔。正是愁肠欲断，珠箔外、点点飘来。分明似，身轻飞燕，扶下碧云台。当初珍重意，金钱竞买，玉砌新栽。更翠屏遮护，羯鼓催开。谁道天机绣锦，都化作、紫陌尘埃。纱窗里，有人怜惜，无语托香腮。
东风第一枝 梅花（明·马洪）	饵玉餐香，梦云惜月，花中无此清莹。俨然姑射仙人，华佩明珰新整。五铢衣薄，应怯瑶台凄冷。自骖鸾、来下人间，几度雪深烟暝。孤绝处、江波流影。憔悴也、春风销粉。相思千种闲愁，声声翠禽啼醒。西湖东阁，休说当时风景。但留取、一点芳心，他日调羹翠鼎。
