都门怀古（明·叶著）　　七言绝句　押支韵	历历黄图绕帝畿，幽燕从古奠丕基。辽金事去千年久，剩有斜阳似旧时。
武昌怀古（明·叶著）　　七言绝句　押麻韵	中原盗贼正如麻，谁陷名藩事可嗟。凭吊兴亡无限思，扁舟江上日初斜。
铜雀台（明·叶著）　　七言绝句　押阳韵	帐中歌吹惜红妆，话到西陵欲断肠。莫怪分香情缱绻，铜台片瓦亦鸳鸯①。
