即事（明·徐居正）　　七言绝句　押庚韵	小沼如盘水浅清，菰蒲新发荻芽生。连筒引却前溪水，养得芭蕉听雨声。
春日（明·徐居正）　　七言绝句　押灰韵	金入垂杨玉谢梅，小池新水碧于苔。春愁春兴谁深浅，燕子不来花未开。
古意（明·徐居正）	海底珊瑚高几丈，千年试作千寻网。万牛挽出沧溟深，蛟龙怒号霹雳响。扶桑日浸红涛热，光华照曜黄金阙。季伦本是粗男儿，金椎一击纷如雪。
