和送别原韵（明末清初·胡瑗）　　五言绝句　押东韵	一别情无限，愁心寄晚风。羡君佳句好，白云和难工。
红梅 其一（明末清初·胡瑗）　　七言绝句　押侵韵	几回错认杏花村，染得猩红浅复深。不道山香盈小院，林家当日是知音。
红梅（明末清初·胡瑗）　　七言绝句	玉骨冰肌染嫩红，依依低映粉墙东。莫教狼藉春泥里，常伴妆台斗艳容①。
