送沈彦修（明·丁岳）　　七言绝句　押微韵	江上秋风吹客衣，江边把酒对斜晖。江鸥不解离人意，故作三三两两飞。
送客（明·丁岳）　　七言绝句　押歌韵	芦花飞雪水增波，一曲尊前感慨歌。客里可堪频送客，眼中知己渐无多。
古风（明·丁岳）　　押阳韵	麒麟四灵长，群兽孰敢当。木精著文彩，肉角仁且良。生草既不折，生虫亦不伤。在鲁何成悲，来周乃致祥。一去余千载，中原有豺狼。
