虞姬（明·周玉箫）　　五言绝句　押东韵	先刎谢重瞳，差强隆准公。应为松与柏，岂化草芃芃。
杨太后（明·周玉箫）　　五言绝句　押尤韵	词采三朝母，龄遐七十周。何如秦吉了，生死在南州。
日星晷（明·周玉箫）　　七言绝句　押支韵	八节晨昏子半时，极星出地较高卑。君心不似天经纬，日日归垣定不移。
庭中竹梅（明·周玉箫）　　七言绝句　押阳韵	梅竹萧森露井旁，断猿空叫月如霜。竹从孕节生来苦，梅到飘魂死亦香。
山杜鹃花（明·周玉箫）　　七言绝句　押灰韵	千山绕缭杜鹃开，挂纸罍尊满插来。应是空斋兄妹血，年年春雨不能灰。
读测量书（明·周玉箫）　　七言绝句　押删韵	测量精义学多般，远阔高深指顾间。结发结肠无底止，试量恨海与愁山。
