谢人惠壬辰历（明·汪衢）　　五言绝句　押真韵	唐虞今圣人，巢许余前身。梅花枝上历，自识山中春。
过太湖（明·汪衢）　　七言绝句　押虞韵	玻璃万顷水云铺，大半人家住近湖。捕得细鳞才出网，儿童穿柳赌呼卢。
独饮效陶（明·汪衢）　　押侵韵	开轩对嘉树，散发坐清阴。邻家送美酒，一笑还自斟。聊兹舒性情，岂复较浅深。凉风树上至，为吾弦素琴。
