咏凤仙花（明·林娙）　　五言绝句　押庚韵	凤鸟久不至，花枝空复名。何如学葵蕊，开即向阳倾。
白门感述（明·林娙）　　七言绝句　押阳韵	白门连岁值饥荒，十载良人旅朔方。顾影自嗟还自笑，妾身嬴得是糟糠。
重九生日（明·林娙）　　七言绝句　押麻韵	西风入户起长嗟，岁岁重阳不在家。不许光鸿常举案，何须悬帨向黄花。
闻关白信良人上书请讨之志喜（明·林娙）　　七言绝句　押庚韵	海寇无端欲弄兵，满廷文武策谁成。儿夫自有终军志，未必中朝许请缨。
