题沈恒吉画扇（明·陈宽）　　七言绝句　押尤韵	红树丹山领去舟，蘋花香老不胜秋。沧江风月谁人管，且向前汀问白鸥。
题谢葵丘雨中访沈介轩画（明·陈宽）　　七言绝句　押侵韵	诗题画里记相寻，白发萧萧别意深。惆怅十年遗墨在，秋风暮雨故人心。
题沈臞樵雪中访沈介轩画（明·陈宽）　　七言绝句　押尤韵	雨中访旧忆葵丘，冒雪臞樵又泛舟。两度共留诗画去，山阴谁说晋风流。
访包山徐德彰（明·陈宽）　　七言绝句　押麻韵	青山湖上是君家，有约来看巨胜花。踏破白云秋一片，不知还隔几重霞。
