山居杂咏（明·慧浸）　　七言绝句　押微韵	行到深深一翠微，人多畏虎闭山扉。我今最爱兹山住，虎迹多时人迹稀。
秋日润兄过访苕霅之游（明·慧浸）　　七言绝句　押青韵	何来拄杖响松扃，左挂椰瓢右澡瓶。却是故人湖上至，袈裟犹带两山青。
望丹阳（明·慧浸）　　七言绝句　押阳韵	曲岸平川驾小航，秋云堆里出重冈。遥看天影苍茫处，一带孤城倚夕阳。
