洛阳陌（明·姚绶）　　五言绝句　押阳韵	马上相逢处，春风在洛阳。陌头杨柳色，一一断人肠。
折枝芙蓉（明·姚绶）	芙蓉花，隔江水，美人盈盈几千里。何年濯锦堕新红，水面西风吹不起。我欲牵之在木末，方舟翻愁江水阔。芙蓉花，似人面，柳眉不在秋时见。墨池为尔闲写生，鸳鸯锁合长生殿。重咨嗟，芙蓉花，掷笔浩歌行踏沙。
玉楼春 春日（明·姚绶）	东风寒悄人何处，百里幽闲犹未遇。看春不觉又清明，槛外梨花开几树。相思心逐东流去，老天肯把韶光驻。陌头杨柳正青青，莫教容易飞花絮。
