樱桃花（明·于若瀛）　　五言绝句　押麻韵	三月雨声细，樱花疑杏花。溪转开䨇笑，临流见浣纱。
合欢（明·于若瀛）　　五言绝句　押遇韵	一茎两三花，低垂泫朝露。开帘弄幽色，时有香风度。
藤（明·于若瀛）　　五言绝句　押遇韵	藤古结为梁，蜒蜿凭云雾。步之时动摇，疑驾彩虹度。
芙蓉（明·于若瀛）　　五言绝句　押寝韵	入港采芙蓉，芙蓉动㴸淰。游鱼聚蜂房，吹作波心锦。
水仙（明·于若瀛）　　五言绝句　押庚韵	水花垂绿蒂，袅袅绿云轻。自是压群卉，谁言梅是兄。
栀子（明·于若瀛）　　七言绝句　押尤韵	萱花薝卜亚枝柔，夏艳春娇取次收。丽朵乍开金谷障，冷香乱堕水晶毬。
潘麓原（万历间青县知县潘榛，一作蔍原）去青县十年矣青人思之有感赋此（明·于若瀛）　　七言绝句　押麻韵	青县城边风日嘉，绕城杨柳冻晴沙。土人犹自思潘令，惆怅河阳千树花。
枫林（明·于若瀛）　　七言排律　押侵韵	禁城玉树渐秋深，枫色凄凄满上林。万片作霞延日丽，几株含雾苦霜吟。斜连双阙辉青琐，倒影平津映碧浔。岐叶著飙声瑟瑟，殷红过雨色沈沈。杂黄间绿缘成锦，委砌飘檐埒作金。向夕转深娇落照，因风散响怖栖禽。城头迥接青岑远，殿角寒生绣幄阴。几度朝昏劳怅望，徘徊故苑倍萧森。
