答（林鸿）诗（明·张红桥）　　七言绝句　押先韵	梨花寂寂斗婵娟，银汉斜临绣户前。自爱焚香消永夜，从来无事诉青天。
答（林鸿）定情诗（明·张红桥）　　七言绝句　押东韵	芙容作帐锦重重，比翼和鸣玉漏中。共道瑶池春似海，月明飞下一双鸿。
和子羽夜至红桥所居（明·张红桥）　　七言绝句　押东韵	桂轮斜落粉楼空，漏水丁丁烛影红。露湿暗香珠翠冷，赤栏桥上待归鸿。
留别子羽七绝句（明·张红桥）　　七言绝句　押东韵	床头络纬泣秋风，一点残灯照药丛。梦吉梦凶都不是，朝朝望断北来鸿。
念奴娇（明·张红桥）	凤凰山下，恨声声玉漏，今宵易歇。三叠阳关歌未竟，城上栖乌催别。一缕情丝，两行清泪，渍透千重铁。重来休问，尊前已是愁绝。还忆浴罢描眉，梦回携手，踏碎花间月。谩道胸前怀豆蔻，今日总成虚设。桃叶津头，莫愁湖畔，远树云烟叠。剪灯帘幕，相思谁与同说。
