春日忆琼章姊（明·沈华鬘）　　五言绝句　押东韵	粉蝶戏兰丛，桃花似面红。东风吹不定，飞向玉阶空。
挽诗（明·沈华鬘）　　七言绝句　押麻韵	悠悠泉路月为家，寂寂春风梦碧纱。自是空思肠断处，归来烟雨送残花。
春夜忆昭齐姊（明·沈华鬘）　　七言绝句　押东韵	春寒香静月胧胧，闲卷湘帘罢绣工。兰烬含花人不寐，独吟残句送归鸿。
