鸡鸣山（明·张拱辰）　　七言绝句　押萧韵	鸡鸣山下凝双眼，不见鸡鸣空断桥。寂寂葩园谁稷黍，伫随流水恨前朝。
游贾氏园（明·张拱辰）　　七言绝句	莫嫌岁晚看花迟，到我来时有紫薇。谩捲轻罗当新酒，明朝风急恐离披①。
峡（明·张拱辰）	峡山高兮千寻，峡流险兮寖淫。障白日于晴空，泼岩崖之微阴。碧草萋菲，怪石峨巍。山鬼夜哭，鹧鸪朝啼。聆惜春波兮日瀰漫，中流一箭兮飞奔遄。游人值此兮命难存。余舟已济兮心犹酸。拉长年与三老兮正襟而诉之。莫余行其少迈兮顾流而易之。乘白日之馀光兮择芳渚而憩之。桂棹兮兰桨，神明兮翱翔。有酒兮酤我，共酌兮斜阳。
