舟夜（明·徐良彦）　　五言绝句　押先韵	席边即水底，篷外是霜天。偶得寒更句，孤舟烛不燃。
塞上曲（明·徐良彦）　　押麌韵	胡儿为我歌，胡妇为我舞。酪酒两三行，黄尘杂桴鼓。披甲上马鞍，旁观色如土。长城陈死人，有力皆如虎。
江上闻笛（明·徐良彦）	笛声入江楼，怨入长江水。悠悠孤光月，寒影沉江底。长笛吹月落，短笛吹月起。无情不解吹，有情为吹死。因风寄远心，不知谁家子。
落叶（明·徐良彦）　　押纸韵	落叶不上枝，因风亦复起。清风若无私，何因有彼此。一叶随飘扬，一叶沾泥滓。寄语风前叶，莫堕东流水。多谢三春风，山中多兰芷。
