宫怨（明·徐媛）　　七言绝句　押阳韵	金屋香吹粉黛香，夜寒高碧见河梁。双星不向人间照，冷尽梨花白玉床。
霜天晓角 采石矶蛾眉亭（明·徐媛）	双峰斗碧，寒玉横秋壁。两道弯环天际，凝无限、青螺色。断岸涛声急，似奏临邛瑟。鸾镜绿窗人去，惟留取、春山迹。
霜天晓角（明·徐媛）	练波飞渺。月挂弓弯皎。云湿晴皋林杪。土花碎、幽岩老。蛟龙时震啸。江白渔歌杳。楼锁冷烟迷眺。剥绣斑、平沙晓。
烛影摇红 望远（明·徐媛）	一上高楼，夕阳影里无穷路。冷烟衰草送秋时，曾记临岐语。归信莫教轻误。恨西风、偏成间阻。虚窗促织，别院寒砧，总添愁苦。过尽征鸿，踟躇没计传衷素。织将锦字又模糊，颠倒难重数。小月花梢微露。镜台前、暗窥眉妩。玉箫声断，金鸭香寒，梦回谁诉。
杨柳枝 竹枝   见《众香词》、《瑶华集》（明·徐媛）	烟啼雾扫玉珊珊。寂寞苍梧云影寒。清泪未随香骨尽，至今馀恨着琅玕。
杨柳枝（明·徐媛）	红袖随风紫陌东。门前斜插碧芙蓉。妾从江上投鱼信，郎在潇湘暮雨中。
霜天晓角 题采石矶蛾眉亭（明·徐媛）	双峰耸碧。寒玉雕秋壁。天半凝螺千尺，横无限、青青色。涛声惊岸拍。似撼湘灵宅。天际镜沉鸾去，空留得、春山迹。
渔家傲 题延陵别业（明·徐媛）	板扉小隐清溪曲。夜月罗浮花覆屋。木笼戛戛摇生谷。庄田熟。桔皋悬向茅檐宿。青山一片芙蓉簇。林皋逸韵敲横竹。远浦轻帆低几幅。浓睡足。笑看小妇双鬟绿。
失调名 九月豫章道中（明·徐媛）	帆轻一扇，晓色碧涟秋岸。林破寒烟，星河淡落，青山如染。露浥芙蓉茜。翠涩枯棠瓣。傍疏柳西风几点。关铎沉，鸡塞远。行行尚缓。家在绿云天半。念归舟游子，一片乡心撩乱。菊黄金绽。满首插、茱萸遍。兀坐逗遛江畔，对旅雁沙汀，盼煞白蘋秋苑。
