题画（明·毛绍龄）　　七言绝句　押先韵	秋风白露荻花鲜，万顷波光接远天。怅望伊人何处是，孤舟荡漾夕阳边。
武陵道中（明·毛绍龄）　　七言绝句　押侵韵	小艇溪头杨柳深，高飞独鹤伴孤琴。落花流水桃源洞，知有秦人何处寻。
舟泊断藤峡（明·毛绍龄）　　七言绝句	风色萧萧月影残，长湍深夜听潺湲。青山列戟无人处，笑有孤舟一枕寒。
闻鹧鸪（明·毛绍龄）　　七言绝句　押先韵	落霞片片夕阳天，寂寂孤城草树连。倦客未归秋又尽，鹧鸪啼破隔江烟。
三月三日刘肯斋以诗约登金山游赏次韵答之（明·毛绍龄）　　七言绝句　押先韵	翠拥山亭漠漠烟，晓联飞盖共翩然。可堪烽火年年是，酒户河桥减昔年。
忆昔（明·毛绍龄）　　七言绝句	忆昔金堤十里长，榕阴倒影欲分江。如今破后无人筑，野草荒沙弄夕阳。
秋日效古有所思（明·毛绍龄）　　七言绝句　押歌韵	晓妆谁与画双蛾，湘浦秋风雁影过。江上不传芳信到，可堪明月夜来多。
爱民碑（明·毛绍龄）　　七言绝句　押真韵	车马经过何处频，丰碑片片驿边新。贫民但卖山头石，不是襄阳堕泪人①。
