子夜四时歌五首 春（明·胡汝嘉）　　五言绝句	黄鸟鸣深林，往来疾于织。非无机杼声，其奈不成匹。
白皦春辞（明·胡汝嘉）　　七言绝句　押麻韵	小窗西畔月轮斜，铜博山前散紫霞。宴罢不知春夜促，醉凭红袖看梅花。
子夜四时歌五首 其二 夏（明·胡汝嘉）　　押真韵	湘筠织成箔，瞥眼便相亲。漫将心附郎，别有帘外人。
