题画（明·沈澄）　　七言绝句　押支韵	采尽芙蓉秋不知，水声流去少年时。西风吹醒江南梦，月色满船歌《竹枝》。
寄陈怡庵（明·沈澄）　　七言绝句	十年千里各天涯，盼得还家会面迟。云冷夜窗听雨坐，相思却似未归峙。
哭金怡静（明·沈澄）　　七言绝句　押先韵	忆君空使泪潸然，诗酒无情又一年。肠断楚云愁不尽，夕阳疏柳自鸣蝉。
