君山竹院（明·陈继儒）　　五言绝句　押删韵	及肩新种竹，濯足旧疏湾。钓月鱼为伴，偕书僧送还。
辛夷（明·陈继儒）　　五言绝句　押麻韵	春雨湿窗纱，辛夷弄影斜。曾窥江梦彩，笔笔忽生花。
题毕钵山图（明·陈继儒）　　七言绝句　押萧韵	毕钵罗峰回入霄，不通猿鸟不通樵。横空独木如飞栈，半月山人一换桥。
桑（明·陈继儒）　　七言绝句　押灰韵	女桑新绿映宫槐，三月春风戴胜来。织就鸳鸯锦千匹，金刀先取合欢裁。
梅（明·陈继儒）　　七言绝句　押阳韵	村边杨柳已拖黄，一路云深旧讲堂。偶向梅花村里度，芒鞋到处雪痕香。
橘（明·陈继儒）　　七言绝句　押麻韵	睡起难禁酒力加，醉时随卧白鸥沙。草堂位置新篱落，蕉叶西边橘试花。
和令则题画（明·陈继儒）　　七言绝句　押麻韵	山村雨霁水痕加，鸭觜滩头燕尾沙。新结松棚试新茗，好风无力扫藤花。
摊破浣溪沙（明·陈继儒）	梓树花香月半明，棹歌归去草虫鸣。曲曲柳湾茅屋矮，挂鱼罾。笑指吾庐何处是，一池荷叶小桥横。修竹纸窗灯火里，读书声。
摊破浣溪沙（明·陈继儒）	蜂欲分衙燕补巢，阴阴落叶遍江皋。一阵窗前风雨到，打芭蕉。惊起幽人初睡午，茶烟缭绕出花梢。有个客来琴在背，度红桥。
浪淘沙（明·陈继儒）	风雨霎时晴，荷叶青青，双鬟捧著小红灯。报道绿纱窗底下，蕉月分明。枕簟嫩凉生，茉莉香清，兰花新吐百余茎。扑得流萤飞去也，团扇多情。
题云山（明·陈继儒）　　押蒸韵	雨过石生五色，云度山馀数层。时有炊烟出树，中多处士高僧。
