和王孟端韵（元末明初·钱仲益）　　七言绝句　押阳韵	萧萧两鬓点吴霜，老去思归客梦长。只有九龙山上月，夜深来照读书堂。
送范宗晖赴云南从军（元末明初·钱仲益）　　押真韵	投老怕送别，送别即伤神。况兹所别者，乃是平生亲。行行赴何许，远在天之垠。迢迢万里余，欲见将何因。近别犹不堪，远别情曷伸。翻嫌交密友，不若交疏人。我昔初还乡，憔悴贱且贫。子来客吾邑，漂泊埋风尘。一见如旧识，岁久情逾真。自谓同心交，不独雷与陈。我入训乡校，子来寓城闉。燕语恒及酉，讽咏或达晨。中间罗变故，别我游江滨。陶朱既远越，张禄遂入秦。间阔几四载，会晤复喜频。明年上京都，聘充戚里宾。我亦被荐书，谒选拜紫宸。缪居容台属，幸得联朝绅。与闻复聚首，相见不隔旬。念子有俊才，倜傥无俦伦。财轻大义重，实谓勇且仁。愿言永相从，诲语烦谆谆。夫何事难料，告别何踆踆。从军赴滇阳，西去逾峨岷。吾皇启昌运，万物皆维新。及兹艳阳月，莺花曜青春。惜子独远去，书剑行随身。骐骥岂绁羁，雕鹗非笼驯。丈夫志四方，岂必长相邻。嗟我已暮齿，双鬓垂秋银。受刃割老肠，容易生酸辛。予时在史馆，寅入出巳申。不暇持一觞，送子龙河漘。江之水滔滔，楚山青嶙峋。咄此可奈何，泪下沾衣巾。
翰林夜集分韵得月字（元末明初·钱仲益）	雨馀残暑谢，夜久官事歇。庭空起商飙，云霄吐华月。于时秋方半，古桂黄初发。玉堂集僚友，清燕足怡悦。送钩行觞频，分韵催诗切。玉轮悬中天，光辉转明洁。有如坐冰壶，爽气彻肌骨。时闻更漏响，渐见明河没。人生寡欢会，圆魄亦易缺。莫辞通夕玩，动是经年别。
牧牛图（元末明初·钱仲益）	东皋二月春草生，江边放牛花雨晴。牧儿唱歌牛吃草，稳坐牛背随牛行。牛角攒攒耳湿湿，断陇荒陂随意入。烟蒲风柳不胜情，日暮归来荷蓑笠。我本山林牧牛叟，滥著朝衫今白首。拟买江南黑牡丹，乞取闲身老农亩。
青山白云图（元末明初·钱仲益）	连山盘盘隔溪水，翠滴风光净如洗。松梢日出初雨晴，满地白云收不起。溪穷路转石径斜，隔溪遥见山人家。柴门深闭人不见，暖风吹落朱藤花。良工邈得无穷景，坐玩令人发深省。何由筑室住山间，长卧云窗弄秋影。
