过南湖戏折藕花（明·吴植）　　七言绝句　押先韵	秋日南湖戏采莲，鸳鸯飞上木兰船。一声《白苎》知何处，无复闲情似少年。
寄张国录孟兼（明·吴植）　　押贿韵	昔别意何长，重来岁华改。沉忧谁与娱，怀人邈江海。褰衣涉汀洲，秋风被兰茝。日夕零露繁，芳馨为谁采。嘉会谅难并，良辰讵容待。思君如明月，夜夜望光彩。
留别张孟兼（明·吴植）	故人昔隐仙华山，高卧白云终日闲。我携清都绿玉杖，相与啸傲烟霞间。一朝忽被征书起，姓名直入明光里。清时冠带圜桥门，济济横经临璧水。坐拥皋比三载余，石室仍紬太史书。平生直气横秋岳，秉笔一字诛奸谀。迩来峻擢仪曹上，千载皇风回揖让。要知制作鲁诸生，元是传经旧刘向。蹇予泉石是生涯，白头受荐来京华。相逢共醉金陵市，一官却种河阳花。人生离会良可惜，已觉形容非昨日。马头万点蜀山青，回首秦淮烟树夕。丈夫才气古所难，去去有冠冠莫弹。郫筒酒熟宁辞饮，饭颗诗成得细看。怜君最是知予者，慷慨高歌起中夜。葛令丹砂或可求，王乔飞鸟还堪借。他时一笑蓬莱巅，碧桃乱发东风前。还将玉管吹明月，叶以云间紫凤篇。
