枕上口占（明·兰廷瑞）　　七言绝句　押蒸韵	枕上诗成喜不胜，起寻笔砚旋呼灯。胆瓶滴取梅花水，已被霜风冻作冰。
夏日（明·兰廷瑞）　　七言绝句　押尤韵	终日凭阑对水鸥，园林长夏似深秋。槐龙细洒鹅黄雪，凉意萋萋风满楼。
题姮娥奔月图（明·兰廷瑞）　　七言绝句　押东韵	窃药私奔计已穷，藁砧应恨洞房空。当时射日亏犹在，何事无能近月中。
