遣兴（明·陈琮）　　五言绝句	箕踞长松下，忘情白发新。城市有名利，江山惟白云。
渔父词（明·陈琮）　　七言绝句　押尤韵	前江风顺水平流，渔妇移舟折海榴。折得一枝簪绿鬓，怕归古渡对人羞①。
山水词（明·陈琮）	水何碧，云何黄，漠然真是水云乡。水云乡，梅的皪，一夜东风尽开却。幽鸟飞来不知去，芳心未许閒偷啄。
