客中闻子规（明·黄淑德）　　五言绝句　押真韵	陌上柳条新，逢春倍惜春。忽闻啼杜宇，愁杀未归人。
七夕（明·黄淑德）　　七言绝句　押歌韵	鹊驾成桥事有无，年年今夕会星娥。时人莫讶经年隔，犹胜人间长别多。
春晚（明·黄淑德）　　七言绝句　押齐韵	春风日日闭深闺，柳老花残莺自啼。寂寞小窗天又暮，一钩新挂月楼西。
秋晚（明·黄淑德）　　七言绝句　押麻韵	柳外慵蝉噪晚霞，风床书卷篆烟斜。凭阑自爱秋容淡，闲数残荷几朵花。
