伏虎林应制（辽·萧观音）　　七言绝句　押江韵	威风万里压南邦，东去能翻鸭绿江。灵怪大千俱破胆，那教猛虎不投降。
怀古（辽·萧观音）　　七言绝句　押阳韵	宫中只数赵家妆，败雨残云误汉王。惟有知情一片月，曾窥飞燕入昭阳。
回心院（辽·萧观音）　　押霰韵	扫深殿，闭久金铺暗。游丝络网尘作堆，积岁青苔厚阶面。扫深殿，待君宴。
回心院（辽·萧观音）	换香枕，一半无云锦。为是秋来展转多，更有双双泪痕渗。换香枕，待君寝。
回心院（辽·萧观音）	剔银灯，须知一样明。偏是君来生彩晕，对妾故作青荧荧。剔银灯，待君行。
回心院（辽·萧观音）　　押阳韵	拂象床，凭梦借高唐。敲坏半边知妾卧，恰当天处少辉光。拂象床，待君王。
回心院（辽·萧观音）	铺翠被，羞杀鸳鸯对。犹忆当时叫合欢，而今独覆相思块。铺翠被，待君睡。
回心院（辽·萧观音）　　押漾韵	装绣帐，金钩未敢上。解却四角夜光珠，不教照见愁模样。装绣帐，待君贶。
回心院（辽·萧观音）	张鸣筝，恰恰语娇莺。一从弹作房中曲，常和窗前风雨声。张鸣筝，待君听。
回心院（辽·萧观音）	展瑶席，花笑三韩碧。笑妾新铺玉一床，从来妇欢不终夕。展瑶席，待君息。
回心院（辽·萧观音）	叠锦茵，重重空自陈。只愿身当白玉体，不愿伊当薄命人。叠锦茵，待君临。
回心院（辽·萧观音）　　押虞韵	爇①熏炉，能将孤闷苏。若道妾身多秽贱，自沾御香香彻肤。爇熏炉，待君娱。
