楚妃怨（金·王郁）　　五言绝句	凉风绕树秋，长河络天碧。深宫悄无人，月暗莎鸡泣。
长安少年行（金·王郁）　　七言绝句　押先韵	新月平康金步莲，青云戚里玉连钱。谁家年少秋风里，梁甫吟成抱剑眠。
阳翟赠李司户国瑞（金·王郁）　　七言绝句　押文韵	洛阳赏尽牡丹春，寂寞钧台对夕曛。手折幽兰赠行子，多情惟有李参军。
饮密国公诸子家（金·王郁）　　七言绝句　押麻韵	宣平坊里榆林巷，便是临淄公子家。寂莫画堂豪贵少，时容词客醉琵琶。
春日行（金·王郁）	春日飞，春野寂，红朋碧友元胎湿。东风著意寒食时，游丝粘人困无力。小铃犊车宴堤沙，凤箫惊落琼英花。荒坟颓颓啼夕鸦，草荒月黑鬼思家。
寄远吟（金·王郁）　　押翰韵	一封征人书，秋帆潇湘岸。当君高楼醉，忆妾空闺叹。
阳关曲（金·王郁）	城东车马已促装，城西江水青茫茫。绿杨陌上一杯酒，离愁惨淡春无光。秦楼花映晴烟直，谁家少妇当门立。金鞭入手紫燕嘶，回首飞云晚山碧。
伤别曲（金·王郁）	兰皋飞暗尘，征车纡去辙。长安虽咫尺，回首繁华歇。故人亭下酒，蛾眉眼中血。平生慷慨肠，忽作柔丝结。传闻紫塞傍，秋烽下危堞。班超未投笔，来瑱空嚼铁。谁能金闺中，坐眷娟娟月。
古别离（金·王郁）	山腰露蕙含天泪，江林枫叶秋容醉。夫君八月雁门行，碎霜冷印白龙辔。忆君挑妾初鸣琴，琴中已有白头吟。朝朝暮暮当时事，言之秪足伤人心。君不见湘妃二女哭舜时，烟筠青玉红珠滋。苍梧人去百想绝，忍教今日生离别。生离别，情偏重。不及双飞南浦云，落红寂寂春闺梦。
秋夜长（金·王郁）	秋风袅袅吹庭树，伤心一叶随风去。叶随风去何所之，似我年年困羁旅。神蟉纡屈泥中蟠，青云未到谁汝怜。愁来不寐起视夜，斗柄斜指西南天。
折杨柳（金·王郁）	长安二月多绿杨，远信未到龙庭旁。佳人中夜抱影坐，风窗泠泠愁思长。青天无云一镜洁，万户千门音响绝。何人横笛在高楼，玉龙叫彻春江月。
游子吟（金·王郁）	短日空裴回，流云自来去。茫茫晓野客衣单，白露无声落秋树。
