春郊（金·刘瞻）　　七言绝句　押庚韵	桑芽粒粒破春青，小叶迎风未展成。寒食归宁红袖女，外家纸上看蚕生。
无极道中（金·刘瞻）　　七言绝句　押阳韵	银河淡淡泻秋光，缺月梢梢挂晚凉。马上西风吹梦断，隔林烟火路苍茫。
所见（金·刘瞻）　　七言绝句　押支韵	倾欹石片插涟漪，上有萧萧杨柳枝。藻荇半浮苔半湿，浣纱人去不多时。
