题裕之乐府后（金·王中立）　　七言绝句　押真韵	常恨小山无后身，元郎乐府更清新。红裙婢子那能晓，送与凌烟阁上人。
中秋（金·王中立）	素丸东溟来，飞上玻璃盆。聊挥五轮手，拨去万里阴。印透山河影，照开天地心。人世有昏晓，我未尝古今①。
杂诗四首（金·王中立）	华山宫殿白云封，不见当年打睡翁。贪看终南山色好，不知红日下前峰。
