望少室（金·许安仁）　　七言绝句　押青韵	名山都不见真形，万仞盘盘入杳冥。安得云间骑白鹤，下看三十六峰青。
送二道者归汾州（金·许安仁）　　七言绝句　押文韵	介休山下两閒人，来访汾阳旧使君。明日却归尘外去，一双白鹤上青云。
草木虫鱼咏二首（金·许安仁）　　七言绝句　押庚韵	蝇钻故纸竟不悟，蛾扑明灯甘丧生。大似盲人骑瞎马，不知平地有深坑。
少室道中（金·许安仁）　　七言绝句　押侵韵	少室峰头晓月沈，千家城郭淡阴阴。五更鸡唱残星灭，马上看山过少林。
游泰安竹林（金·许安仁）　　七言绝句　押删韵	萧寺天教胜处安，峰峦腾掷水云閒。客来总说游山好，不道山僧却厌山。
