早赴北宫（金·赵摅）　　七言绝句　押真韵	苍龙双阙郁层云，湖水鳞鳞柳色新。绝似江行看清晓，不知身是趁朝人。
南歌子（金·赵摅）	涧草萋萋绿，林莺恰恰啼。汀沙过雨便无泥。换得芒鞋随意、到前溪。浦溆浑堪画，云烟总是题。江湖老伴一蓑衣。真个斜风细雨、不须归。
虞美人 同孟利器寻春（金·赵摅）	春来日日风成阵。桃李飘零尽。树头树底觅残红。只有郭西梨雪、照晴空。酬春须得如川酒。酒债寻常有。葛巾欹侧倩人扶。大似浣花溪上、醉骑驴。
