六月二十九日北宫朝回（金·张行简）　　七言绝句　押支韵	疏柳衰荷又一时，清波飞叶梦灵芝。年年踏尽溪边路，不觉吴霜点鬓丝。
酬郭光秀才（金·张行简）　　七言绝句　押齐韵	畴昔君来事已睽，岂知今我又羁栖。波臣傥不辞升斗，鹄卵终当遇鲁鸡。
题子端雪溪小隐图（金·张行简）　　七言绝句　押尤韵	出处皆天岂自由，仙标终合冠鳌头。不妨貌取黄华景，时向铃斋作卧游。
