中秋无月（金·敏之）　　七言绝句　押支韵	佳辰无物慰相思，先赏空吟昨夜诗。莫怪更深仍坐待，密云或有暂开时。
读裕之弟诗藁有莺声柳巷深之句漫题三诗其后（金·敏之）　　七言绝句　押支韵	阿翁醉语戏儿痴，说著蝉诗也道奇。吴下阿蒙非向日，新篇争遣九泉知。
题江村风雨图（金·敏之）　　七言绝句　押东韵	渡口舟横水拍空，墨云倾雨树号风。江山不到红尘眼，半幅烟绡想像中。
