感事（金·景覃）　　七言绝句　押庚韵	兰芳切禁当门种，李苦何伤并道生。自古英雄足猜忌，莫教身外有浮名。
凤栖梧（金·景覃）	倦客情悰纷似缕。小院无人，卧听秋虫语。归意已搀新雁去。晚凉更作潇潇两。架上秋衣蝇点素。冷菊戎装，尚被春花妒。别有溪山容杖屦。等閒不许人知处。
天香（金·景覃）	市远人稀，林深犬吠，山连水村幽寂。田里安閒，东邻西舍，准拟醉时欢适。社祈雩祷。有箫鼓、喧天吹击。宿雨新晴垄头，閒看露桑风麦。无端晴亭莫驿。恨连年、此时行役。何似临流萧散，缓衣轻帻。炊黍烹鸡自劳，有脆绿、甘红荐芳液。梦里春泉，糟床夜滴。
