忆郎山（金·任诟）　　五言绝句　押阳韵	万壑溪流合，千峰木叶黄。郎山五千丈，独立见苍苍。
济南黄台三首（金·任诟）　　七言绝句　押尤韵	满目江南烟水秋，济南重到忆南游。便欲移家渔市侧，轻蓑短棹弄扁舟。
巨然山寺（金·任诟）　　七言绝句　押真韵	孤撑山作碧螺髻，漫散水成苍玉鳞。野寺荒凉人不到，水光山影正横陈。
西湖（金·任诟）	西湖环武林，澄澄大圆镜。仰看湖上寺，即是镜中影。湖光与天色，一碧千万顷。堤径截烟来，楼台自昏暝。
苏州宴（金·任诟）	苏州女儿嫩如水，髻耸花笼青凤尾。十二红裳酽梳洗，植立唱歌烟雾里。一人丰秾玉手指，袖挽翠云弹绿绮。落花一片天上来，似欲随人波江水。曲终宴阕歌一觞，行人南游道路长。明日松江千万顷，烟波云树春茫茫。
庚辰十二月十九日雪（金·任诟）	冯夷揃水翻银玑，北风浩浩如兵威。琼台玉榭压金碧，三十六宫明月辉。五更待漏鸡人唱，近卫胪传九天上。须臾龙驭踏飞瑶，万户千门寂相向。皓齿才人宫袖窄，巧画长眉梅半额。含嚬一笑竞春妍，绣勒锦鞯生羽翮。城外雪深回马首，别殿传觞灯作昼。欢声一曲借春谣，半夜西园满花柳。沾濡已见盈阡陌，况是隆冬见三白。帝力如天人得知，今庆明年好春泽。
浙江亭观潮（金·任诟）	海门东向沧溟阔，潮来怒捲千寻雪。浙江亭下击飞霆，蛟蜃争驰奋髯鬣。钜鹿之战百万集，呼声响震坤轴立。昆阳夜出雨悬河，剑戟奔冲溃寻邑。吴侬稚时学弄潮，形色沮懦心胆豪。青旗出没波涛里，一掷性命轻鸿毛。须臾风送潮头息，乱山稠叠伤心碧。西兴浦口又斜晖，相望会稽云半赤。诗家谁有坡仙笔，称与江山作勍敌。援毫三叫句不成，但觉云涛满胸臆。
