柳梢青（元·吴瓘）	墙角孤根，株身纤小，娇羞无力。蟹眼微红，粉容未露，不禁春色。待东君汨没芳姿，渐迤逦、檀心半坼。缓步回廊，黄昏淡月，那时相得。
渔父（元·吴瓘）	波平如砥小舟轻。托得纶竿寄此身。忘世恋，乐平生。不识公侯有姓名。
渔父（元·吴瓘）	野色山光水接天。云烟缥缈思长川。收此景，老梅仙。万顷湘江笔底传。
