宣城民哭邑令（元·无名氏）　　五言绝句　押屋韵	公来何其迟，公去何其速。使我宣城民，何以遂生育？
台温处树旗谣（元·无名氏）　　五言绝句　押歌韵	天高皇帝远，民少相公多。一日三遍打，不反待如何？
松江谣（元·无名氏）　　五言绝句　押哿韵	满城都是火，府官四散躲。城里无一人，红军府上坐。
仙方诗（元·无名氏）　　七言绝句　押支韵	纷纷墓土黄金屑，片片花飞白玉芝。君主一斤臣四两，调和服下即平夷。
法服歌诀（元·无名氏）　　七言绝句　押先韵	袜履中单黄带先，裙袍蔽膝绶绅连。方心曲领蓝腰带，玉佩丁当冠笏全。
浮梁民谣（元·无名氏）　　七言绝句　押麻韵	桃李阴阴六万家，下居民不识官衙。甘棠喜有千年政，美玉终无一点瑕。
晚翠亭诗（元·无名氏）	一径入青松，飞流澹晴绿。道人晚归来，长歌振林谷。山深不知秋，落叶下枯木。须臾翠烟开，月色照綵服。
荆州鬼语（元·无名氏）　　押麌韵	苦也苦，几时泥到襄阳府。苦也苦，几时泥到成都府。
元初童谣（元·无名氏）	塔儿红，北人来作主人翁；塔儿白，南人是主北为客。
滨州民歌（元·无名氏）　　押青韵	田野桑麻一倍增，昔无粗麻今纩缯，太守之德如景星。
皇舅墓谣（元·无名氏）	皇舅墓门闭，运粮向北去；水渰墓门开，运粮却回来。
用字谜（元·无名氏）　　押先韵	三山自三山，山山甘倒悬。一月复一月，月月还相连。左右排双羽，纵横列二川。阖家都六口，两口不团圆。
大明寺水隐语（元·无名氏）	一人堂堂，两曜垂光。井深尺一，点去冰旁。二人同行，不欠一边。三梁四柱足火然，若有双钩日月全。
无名状（元·无名氏）　　押梗韵	老书生，小书生，二书生坏了中书省。不言不语张左丞，铺眉扇眼董参政，也待学魏徵一般俸②请①。
宁都州民歌（元·无名氏）	去年雪，今年雨。微计侯，那得此。民既悦，天应喜。
雷州民歌（元·无名氏）	潟卤为田兮，孙父之教。渠之泱泱兮，长我粳稻。自今有年兮，无旱无涝。
太仓谣（元·无名氏）	打碗花子开，今搬州县来。黄郎屋上走，州县住不久①。
斛铭（元·无名氏）　　押纸韵	出以是，入以是。是子孙，永如是。
明宗时童谣（元·无名氏）	牡丹红，禾苗空。牡丹紫，禾苗死①。
十七字诗（元·无名氏）　　押纸韵	自谓非其子，如今作天子。传语老蛮子，请死。
