自题竹石（元·管道升）　　五言绝句　押陌韵	暮嶂远含青，春江带空碧。细看风前枝，抛书枕萝石。
寄子昂君墨竹（元·管道升）　　七言绝句　押灰韵	夫君去日竹初栽，竹已成林君未来。玉貌一衰难再好，不如花落又花开。
题画（元·管道升）　　七言绝句　押庚韵	春晴今日又逢晴，閒与儿曹竹下行。春意近来浓几许，森森稚子石边生。
自题画竹（元·管道升）　　七言绝句　押阳韵	罢宴归来未夕阳，锁衣犹带御炉香。侍儿不用频挥扇，修竹萧萧生嫩凉。
我侬词（元·管道升）	你侬我侬，忒煞情多，情多处，热如火。把一块泥，捻一个你，塑一个我。将咱两个，一齐打破，用水调和。再捻一个你，再塑一个我。我泥中有你，你泥中有我。与你生同一个衾，死同一个椁。
渔父词四首（元·管道升）	遥想山堂数树梅，凌寒玉蕊发南枝。山月照，晓风吹，只为清香苦欲归。
句（元·管道升）　　押元韵	山回新绮阁，竹掩旧朱门。
