咏雪（元·张鸣善）	漫天坠，扑地飞，白占许多田地。冻杀吴民都是你！难道是国家祥瑞？
双调·水仙子（元·张鸣善）	铺眉苫眼早三公，裸袖揎拳享万钟，胡言乱语成时用。大纲来都是哄。说英雄谁是英雄？五眼鸡岐山鸣凤，两头蛇南阳卧龙，三脚猫渭水飞熊。
普天乐（元·张鸣善）	雨儿飘，风儿扬。风吹回好梦，雨滴损柔肠。风萧萧梧叶中，寸点点芭蕉上。风雨相留添悲怆，雨和风卷起凄凉。风雨儿怎当，雨风儿定当，风雨儿难当。
普天乐 咏世（元·张鸣善）	洛阳花，梁园月，好花须买，皓月须赊。花倚栏干看烂熳开，月曾把酒问团圆夜。月有盈亏花有开谢，想人生最苦离别。花谢了三春近也，月缺了中秋到也，人去了何日来也？
