至道宫（元·叶林）　　七言绝句　押东韵	犹存鼎镬记熙丰，翠霭春深古路通。千百舂锄一株树，野田吹下雪花风。
绝句（元·叶林）　　七言绝句　押微韵	金粟花前风细细，宝阶地上月辉辉。梦回不属红尘境，凉露满衣人醉归。
句（元·叶林）　　押灰韵	芙蓉摇风柳挂月，醉来健倒梨花堆。
