题江山归兴图（元·黄玠）　　七言绝句　押虞韵	秦望东南远欲无，依稀禹穴向姚虞。几时把酒鄞江上，却对乡山看此图。
题吴季良东明轩（元·黄玠）	朝日出旸谷，照我轩东荣。煌煌天光发，湛湛旦气清。定志息喧杂，澄心养虚灵。八窗启扃钥，万象生光明。
拟古（元·黄玠）　　押文韵	龙马负灵图，八卦开人文。天运当寅中，民时方大昕。制字乃未多，所言为典坟。一往数千载，怀哉圣神君。
赋顾梅西煮雪（元·黄玠）	摇竹取残雪，松声动寒吹。金怀少馀欢，石鼎作雅事。极清超水品，至淡出天味。行过梅花西，唤起幽人睡。
感怀（元·黄玠）	积阴不可扫，积懑不可道。君子所可道，小人以为嬲。世事终渺茫，物情慢衰老。归来日未昳，自去庭中草。
采莲女（元·黄玠）	川日出已高，江霏散如雾。但闻采莲曲，不知采莲处。双双相思鸟，飞上相思树。幽人空尔怀，欲往畏多露。
题章德𢡟兰（元·黄玠）	竹树何蘙荟，蕙兰自奇芬。水墨写清影，犹疑见湘原。欲持一卮酒，酹此千岁魂。但恐醉中意，难与醒者言。
赋傅伯玉来青轩（元·黄玠）	两山送青来，与人终日閒。爽气逼眉宇，不似在尘间。仰观天中云，扰扰去不还。始知静者佳，取琴当户弹。
寄胡伯衡兼呈叔父元理元美二首（元·黄玠）　　押尤韵	忆昔少年日，慷慨赋远游。晨起揽白须，始知天地秋。寒云去雁断，落木穷猿愁。亲故各异方，谁当慰淹留。此邦非吾土，怅望登兹楼。长歌动幽愤，汗漫不可收。
南堂偶成似卫耕间先生（元·黄玠）	倚阑看池水，池水清若空。烟沉树色底，日行云影中。翾羽晞薄雾，游丝汎光风。跃鱼自幽潜，岂望能为龙。才劣不任官，力弱不任农。清世有华民，我辰非不逄。
赋陆子敬旧时月色亭（元·黄玠）　　押真韵	古月即已旧，今月乃更新。解后见颜色，梅花如故人。挽彼檐下枝，挂我头上巾。摘花不插发，踏月走千巡。横笛且勿吹，良夜亦易晨。恒恐明日至，使我迹复陈。愿因白免公，托根冫雪轮。结子近琼楼，永与桂树亲。
月下独酌似谢季初叔久兄弟（元·黄玠）　　押有韵	风休露欲下，云过月如走。一尊良夜初，万事中年后。大白真仙人，俗客匪其偶。孤斟不成欢，引影作三友。我今笑问影，颇亦解事否。既能随我身，胡不开尔口。倾杯月入怀，停杯月在手。此月岂真月，不饮复何有。
谢长源为余言燕子事有感（元·黄玠）	旧雌有众雏，新雌来杀之。蒺藜刺中肠，并死无一遗。持筸逐娼鸟，恶土污人衣。彼雄诚不才，怨心当语谁。祥览令我惧，伋寿令我思。物态尚如是，世情良足悲。
寄衍上人索画兰（元·黄玠）　　押元韵	薄言采兰蘤，兰叶□□□。□□□人远，僻处荒山原。崇炫非素心，澹泊性所存。亦同桃李春，不同桃李繁。
慎勿买良田（元·黄玠）	慎勿买良田，良田有豺虎。豺虎不汝食，官司推剥汝。公廪多急输，里正遭箠楚。肉尽即见骨，家破无死所。茹蔊何必辛，茹荼何必苦。伤哉浙水民，困此一犁土。
游幻住庵留赠月千江上人（元·黄玠）　　押删韵	出郭动柔橹，春花始班班。俯舷照清流，正见衰病颜。形影自相笑，浮沉人两间。胡能即有定，波荡不得閒。
与戴彦季张和伦游南山玲珑洞（元·黄玠）　　押麻韵	放舟出清苕，鸣橹声了牙。历历览胜绝，行行入幽遐。玲珑洞穴古，疑有仙人家。清风石上起，吹老良姜花。
与韩介石闻人梅涧游黄龙洞（元·黄玠）	龙君所幽潜，嵌空若眢井。投石风转雷，股栗怯深迥。僮奴夸捷走，啸呼已绝顶。升高只自危，聊复罢吾兴。
次韵孙尤实言诗（元·黄玠）　　押真韵	佳诗如饮泉，一寒乃清真。妙趣欲无我，宁复有袭因。学之三十年，同光犹隙尘。扰扰共高下，未足轻众人。多忤言可忘，薄奉气乃醇。羲黄复何心，适当天地春。
与梁邦彦对雪饮酒禁体（元·黄玠）　　押有韵	五精阐嘉瑞，一白遍林薮。飘洒集众妙，点缀出群有。覆藏失垢污，摧压见节守。岁华乃尔清，夜色不得黝。僮奴掖醉归，迹足没已厚。人生几两屐，素发一搔首。
