贺吴朝进素臣父子并荣（元·佚名）　　七言绝句　押庚韵	未饶官贵文章贵，不但亲荣闾里荣。青史旧书吴太守，素臣新传左丘明①。
西晋太康元年龚泰砖砚铭（元·佚名）　　押先韵	研虽非石难磨穿，心虽非铁如其坚，守之弗失道自宣①。
古碑诗词（元·佚名）　　押纸韵	嘉树拂五云，大鹏垂万里。海门浪汹涌，春龙从此起①。
潮州开元寺铜云钣铭（元·佚名）	道以时鸣，警于朝夕。清净音闻，如夔拊石。觉彼参玄，尽来知识。镇重禅林，有典有则①。
题张奂墓残句（元·佚名）　　押庚韵	易启先天秘，琴弹太古声①。
南恩州古谣（元·佚名）　　押元韵	汀洲青草连，南恩出状元①。
