朱宣慰家题画（元·子温）　　五言绝句　押未韵	昔有朱买臣，今有朱宣慰。两个担柴夫，并为朱紫贵。
题画葡萄卷后（元·子温）　　七言绝句　押尤韵	明月清风宗炳社，夕阳秋色庾公楼。修心未到无心地，万种千般逐水流。
题画（元·子温）　　七言绝句	曾向流沙取梵书，草龙珠帐满征途。轻包短策难将带，记得西风月上初。
